number,content,section,Punktzahl,1.0-fach,2.3-fach,3.5-fach,reference,parsed_references,rule
2220,"Versorgung eines Zahnes durch
eine Teilkrone mit Retentionsrillen
oder -kästen oder mit Pinledges
einschließlich Rekonstruktion der
gesamten Kaufläche, auch Versor -
gung eines Zahnes durch ein Ve -
neer
Neben den Leistungen nach den
Nummern 2200 bis 2220 sind die
Leistungen nach den Nummern 2050 bis 2130 nicht berechnungs -
fähig. Die Leistung nach der Num -
mer 2210 ist im Zusammenhang
mit Implantaten nicht berech -
nungsfähig. Durch die Leistungen
nach den Nummern 2150 bis 2170
und 2200 bis 2220 sind folgende
zahnärztliche Leistungen abgegol -
ten: Präparieren des Zahnes oder
Implantats, Relationsbestimmung,
Abformungen, Einproben, proviso -
risches Eingliedern, festes Einfügen
der Einlagefüllung oder der Krone
oder der Teilkrone oder des Ve -
neers, Nachkontrolle und Korrektu -
ren. Die Leistung nach der
Nummer 2200 umfasst auch die
Verschraubung und Abdeckung
mit Füllungsmaterial. Zu den Kro -
nen nach den Nummern 2200 bis 2220 gehören Kronen (Voll- und
Teilkronen) jeder zahntechnischen
Ausführung.",C_Konservierende_Leistungen,2067.0,116.25,267.38,406.88,"References: Nummern 2200 bis 2220, Nummern 2050 bis 2130, Nummer 2210, Nummern 2150 bis 2170, Nummer 2200.",,Die Leistung nach der Nummer 2200 umfasst auch die Verschraubung und Abdeckung mit Füllungsmaterial.
2220,"Versorgung eines Zahnes durch
eine Teilkrone mit Retentionsrillen
oder -kästen oder mit Pinledges
einschließlich Rekonstruktion der
gesamten Kaufläche, auch Versor -
gung eines Zahnes durch ein Ve -
neer
Neben den Leistungen nach den
Nummern 2200 bis 2220 sind die
Leistungen nach den Nummern 2050 bis 2130 nicht berechnungs -
fähig. Die Leistung nach der Num -
mer 2210 ist im Zusammenhang
mit Implantaten nicht berech -
nungsfähig. Durch die Leistungen
nach den Nummern 2150 bis 2170
und 2200 bis 2220 sind folgende
zahnärztliche Leistungen abgegol -
ten: Präparieren des Zahnes oder
Implantats, Relationsbestimmung,
Abformungen, Einproben, proviso -
risches Eingliedern, festes Einfügen
der Einlagefüllung oder der Krone
oder der Teilkrone oder des Ve -
neers, Nachkontrolle und Korrektu -
ren. Die Leistung nach der
Nummer 2200 umfasst auch die
Verschraubung und Abdeckung
mit Füllungsmaterial. Zu den Kro -
nen nach den Nummern 2200 bis 2220 gehören Kronen (Voll- und
Teilkronen) jeder zahntechnischen
Ausführung.",C_Konservierende_Leistungen,2067.0,116.25,267.38,406.88,"References: Nummern 2200 bis 2220, Nummern 2050 bis 2130, Nummer 2210, Nummern 2150 bis 2170, Nummer 2200.",,Zu den Kronen nach den Nummern 2200 bis 2220 gehören Kronen (Voll- und Teilkronen) jeder zahntechnischen Ausführung.
2230,"Enden die Leistungen mit der Prä -
paration eines Zahnes oder der
Abdrucknahme beim Implantat,
so ist die Hälfte der jeweiligen Ge -
bühr berechnungsfähig.",C_Konservierende_Leistungen,,,,,The text does not mention any references to other paragraphs.,,"Enden die Leistungen mit der Präparation eines Zahnes oder der Abdrucknahme beim Implantat, so ist die Hälfte der jeweiligen Gebühr berechnungsfähig."
2240,"Sind darüber hinaus weitere Maß -
nahmen erfolgt, so sind drei Viertel
der jeweiligen Gebühr berech -
nungsfähig.
Die Leistung nach den Nummern 2230 oder 2240 sind nur berech -
nungsfähig, wenn es dem Zahn -
arzt objektiv auf Dauer unmöglich
war, die Behandlung fortzusetzen
oder eine Fortsetzung aus medizi -
nischen Gründen nicht indiziert
war.",C_Konservierende_Leistungen,,,,,"References: Nummern 2230, 2240",,"Die Leistung nach den Nummern 2230 oder 2240 sind nur berechnungsfähig, wenn es dem Zahnarzt objektiv auf Dauer unmöglich war, die Behandlung fortzusetzen oder eine Fortsetzung aus medizinischen Gründen nicht indiziert war."
2250,"Eingliederung einer konfektionier -
ten Krone in der pädiatrischen
Zahnheilkunde
Die Kosten für konfektionierte Kro -
nen sind gesondert berechnungs -
fähig.",C_Konservierende_Leistungen,210.0,11.81,27.16,41.34,The text does not mention any references to other paragraphs.,,The text does not provide any specific rules that can be applied to an invoice with the provided structure.
2260,"Provisorium im direkten Verfahren
ohne Abformung, je Zahn oder Im -
plantat, einschließlich Entfernung",C_Konservierende_Leistungen,100.0,5.62,12.94,19.68,The text does not mention any references to other paragraphs.,,
2270,"Provisorium im direkten Verfahren
mit Abformung, je Zahn oder Im -
plantat, einschließlich Entfernung
Bei Verwendung eines konfektio -
nierten Provisoriums sind die
Kosten hierfür gesondert berech -
nungsfähig. Das Wiedereinglie -
dern desselben Provisoriums,
gegebenenfalls auch mehrmals,
einschließlich Entfernung, ist mit
der Gebühr nach der Nummer 2260 oder 2270 abgegolten.",C_Konservierende_Leistungen,270.0,15.19,34.93,53.15,"References: Nummer 2260, Nummer 2270",,Bei Verwendung eines konfektionierten Provisoriums sind die Kosten hierfür gesondert berechnungsfähig.
2270,"Provisorium im direkten Verfahren
mit Abformung, je Zahn oder Im -
plantat, einschließlich Entfernung
Bei Verwendung eines konfektio -
nierten Provisoriums sind die
Kosten hierfür gesondert berech -
nungsfähig. Das Wiedereinglie -
dern desselben Provisoriums,
gegebenenfalls auch mehrmals,
einschließlich Entfernung, ist mit
der Gebühr nach der Nummer 2260 oder 2270 abgegolten.",C_Konservierende_Leistungen,270.0,15.19,34.93,53.15,"References: Nummer 2260, Nummer 2270",,"Das Wiedereingliedern desselben Provisoriums, gegebenenfalls auch mehrmals, einschließlich Entfernung, ist mit der Gebühr nach der Nummer 2260 oder 2270 abgegolten."
2290,"Entfernung einer Einlagefüllung,
einer Krone, eines Brückenankers,
Abtrennen eines Brückengliedes
oder Steges oder Ähnliches",C_Konservierende_Leistungen,180.0,10.12,23.28,35.43,The text does not mention any references to other paragraphs.,,
2300,Entfernung eines Wurzelstiftes,C_Konservierende_Leistungen,270.0,15.19,34.93,53.15,"The text ""Entfernung eines Wurzelstiftes"" does not contain any references to other paragraphs.",,
2310,"Wiedereingliederung einer Einla -
gefüllung, einer Teilkrone, eines Ve -
neers oder einer Krone oder
Wiederherstellung einer Verblend -
schale an herausnehmbarem
Zahnersatz",C_Konservierende_Leistungen,145.0,8.16,18.76,28.54,The text does not mention any references to other paragraphs.,,
2320,"Wiederherstellung einer Krone,
einer Teilkrone, eines Veneers,
eines Brückenankers, einer Ver -
blendschale oder einer Verblen -
dung an festsitzendem Zahnersatz,
gegebenenfalls einschließlich Wie -
dereingliederung und Abformung",C_Konservierende_Leistungen,350.0,19.68,45.27,68.9,The text does not mention any references to other paragraphs.,,
2330,"Maßnahmen zur Erhaltung der vi -
talen Pulpa bei Caries profunda
(Exkavieren, indirekte Überkap -
pung), je Kavität",C_Konservierende_Leistungen,110.0,6.19,14.23,21.65,The text does not mention any references to other paragraphs.,,
2340,"Maßnahmen zur Erhaltung der frei -
liegenden vitalen Pulpa (Exkavie -
ren, direkte Überkappung), je
Kavität",C_Konservierende_Leistungen,200.0,11.25,25.87,39.37,The text does not mention any references to other paragraphs.,,
2350,"Amputation und Versorgung der
vitalen Pulpa einschließlich Exka -
vieren",C_Konservierende_Leistungen,290.0,16.31,37.51,57.09,The text provided does not contain any references to other paragraphs.,,
2360,"Exstirpation der vitalen Pulpa ein -
schließlich Exkavieren, je Kanal",C_Konservierende_Leistungen,110.0,6.19,14.23,21.65,The text doesn't mention any references to other paragraphs.,,
2380,"Amputation und endgültige Ver -
sorgung der avitalen Milchzahn -
pulpa",C_Konservierende_Leistungen,160.0,9.0,20.7,31.5,The text provided does not contain any references to other paragraphs.,,
2390,"Trepanation eines Zahnes, als
selbstständige Leistung",C_Konservierende_Leistungen,65.0,3.66,8.41,12.8,The text provided does not mention any references to other paragraphs.,,
2400,"Elektrometrische Längenbestim -
mung eines Wurzelkanals
Die Leistung nach der Nummer 2400 ist je Wurzelkanal höchstens
zweimal je Sitzung berechnungs-
fähig.",C_Konservierende_Leistungen,70.0,3.94,9.05,13.78,The text does not mention any references to other paragraphs.,,Die Leistung nach der Nummer 2400 ist je Wurzelkanal höchstens zweimal je Sitzung berechnungsfähig.
2410,"Aufbereitung eines Wurzelkanals
auch retrograd, je Kanal, gege -
benenfalls in mehreren Sitzungen
Die Leistung nach der Nummer 2410 ist für denselben Wurzelkanal
nur dann erneut berechnungsfä -
hig, wenn der Wurzelkanal nach
der ersten Aufbereitung definitiv
versorgt worden ist. Wenn auf
Grund anatomischer Besonderhei -
ten eine Aufbereitung in einer Sit -
zung nicht erfolgen kann, ist die
Leistung nach der Nummer 2410
für denselben Wurzelkanal erneut
berechnungsfähig. Dies ist in der
Rechnung zu begründen. Je Auf -
bereitung eines Wurzelkanals ist
die Leistung in diesem Fall höchs -
tens zweimal berechnungsfähig.",C_Konservierende_Leistungen,392.0,22.05,50.71,77.16,References: Nummer 2410,,"Die Leistung nach der Nummer 2410 ist für denselben Wurzelkanal nur dann erneut berechnungsfähig, wenn der Wurzelkanal nach der ersten Aufbereitung definitiv versorgt worden ist."
2410,"Aufbereitung eines Wurzelkanals
auch retrograd, je Kanal, gege -
benenfalls in mehreren Sitzungen
Die Leistung nach der Nummer 2410 ist für denselben Wurzelkanal
nur dann erneut berechnungsfä -
hig, wenn der Wurzelkanal nach
der ersten Aufbereitung definitiv
versorgt worden ist. Wenn auf
Grund anatomischer Besonderhei -
ten eine Aufbereitung in einer Sit -
zung nicht erfolgen kann, ist die
Leistung nach der Nummer 2410
für denselben Wurzelkanal erneut
berechnungsfähig. Dies ist in der
Rechnung zu begründen. Je Auf -
bereitung eines Wurzelkanals ist
die Leistung in diesem Fall höchs -
tens zweimal berechnungsfähig.",C_Konservierende_Leistungen,392.0,22.05,50.71,77.16,References: Nummer 2410,,"Wenn auf Grund anatomischer Besonderheiten eine Aufbereitung in einer Sitzung nicht erfolgen kann, ist die Leistung nach der Nummer 2410 für denselben Wurzelkanal erneut berechnungsfähig. Dies ist in der Rechnung zu begründen."
2410,"Aufbereitung eines Wurzelkanals
auch retrograd, je Kanal, gege -
benenfalls in mehreren Sitzungen
Die Leistung nach der Nummer 2410 ist für denselben Wurzelkanal
nur dann erneut berechnungsfä -
hig, wenn der Wurzelkanal nach
der ersten Aufbereitung definitiv
versorgt worden ist. Wenn auf
Grund anatomischer Besonderhei -
ten eine Aufbereitung in einer Sit -
zung nicht erfolgen kann, ist die
Leistung nach der Nummer 2410
für denselben Wurzelkanal erneut
berechnungsfähig. Dies ist in der
Rechnung zu begründen. Je Auf -
bereitung eines Wurzelkanals ist
die Leistung in diesem Fall höchs -
tens zweimal berechnungsfähig.",C_Konservierende_Leistungen,392.0,22.05,50.71,77.16,References: Nummer 2410,,Je Aufbereitung eines Wurzelkanals ist die Leistung in diesem Fall höchstens zweimal berechnungsfähig.
2420,"Zusätzliche Anwendung elektro -
physikalisch-chemischer Metho -
den, je Kanal",C_Konservierende_Leistungen,70.0,3.94,9.05,13.78,The text provided does not mention or reference any other paragraphs.,,
2430,"Medikamentöse Einlage in Verbin -
dung mit Maßnahmen nach den
Nummern 2360, 2380 und 2410, je
Zahn und Sitzung",C_Konservierende_Leistungen,204.0,11.47,26.39,40.16,"References: Nummern 2360, 2380, 2410",,"The service must be in connection with measures according to the numbers 2360, 2380 and 2410, per tooth and session."
2440,Füllung eines Wurzelkanals,C_Konservierende_Leistungen,258.0,14.51,33.37,50.79,The text provided does not contain any references to other paragraphs.,,
3000,"Entfernung eines einwurzeligen Zah -
nes oder eines enossalen Implantats",D_Chirurgische_Leistungen,70.0,3.94,9.05,13.78,The text provided does not mention any references to other paragraphs.,,
3010,"Entfernung eines mehrwurzeligen
Zahnes",D_Chirurgische_Leistungen,110.0,6.19,14.23,21.65,The text provided does not contain any references to other paragraphs.,,
3020,"Entfernung eines tief frakturierten
oder tief zerstörten Zahnes",D_Chirurgische_Leistungen,270.0,15.19,34.93,53.15,The text provided does not contain any references to other paragraphs.,,
3030,"Entfernung eines Zahnes oder
eines enossalen Implantats durch
Osteotomie",D_Chirurgische_Leistungen,350.0,19.68,45.27,68.9,The text doesn't mention any references to other paragraphs.,,
3040,"Entfernung eines retinierten, im -
paktierten oder verlagerten Zah -
nes durch Osteotomie",D_Chirurgische_Leistungen,540.0,30.37,69.85,106.3,The text does not mention any references to other paragraphs.,,
3045,"Entfernen eines extrem verlagerten
und/oder extrem retinierten Zahnes
durch umfangreiche Osteotomie
bei gefährdeten anatomischen
Nachbarstrukturen",D_Chirurgische_Leistungen,767.0,43.14,99.22,150.98,The text does not mention any references to other paragraphs.,,
3050,"Stillung einer übermäßigen Blutung
im Mund- und/oder Kieferbereich,
als selbstständige Leistung",D_Chirurgische_Leistungen,110.0,6.19,14.23,21.65,The text does not mention any references to other paragraphs.,,
3060,"Stillung einer Blutung durch Abbin -
den oder Umstechen des Gefäßes
oder durch Knochenbolzung",D_Chirurgische_Leistungen,140.0,7.87,18.11,27.56,The text does not mention any references to other paragraphs.,,
3070,"Exzision von Schleimhaut oder
Granulationsgewebe, als selbst -
ständige Leistung",D_Chirurgische_Leistungen,45.0,2.53,5.82,8.86,The text doesn't mention any references to other paragraphs.,,
3080,"Exzision einer Schleimhautwuche -
rung größeren Umfangs (z.B. lappi -
ges Fibrom, Epulis)",D_Chirurgische_Leistungen,150.0,8.44,19.4,29.53,The text does not mention any references to other paragraphs.,,
3090,"Plastischer Verschluss einer eröffne -
ten Kieferhöhle",D_Chirurgische_Leistungen,370.0,20.81,47.86,72.83,The text provided does not contain any references to other paragraphs.,,
3100,"Plastische Deckung im Rahmen
einer Wundversorgung einschließ -
lich einer Periostschlitzung, je
Operationsgebiet (Raum einer
zusammenhängenden Schnitt -
führung)
Die Leistung nach der Nummer 3100 ist für dasselbe Operationsge -
biet nicht neben der Leistung nach
der Nummer 3090 berechnungsfä -
hig.",D_Chirurgische_Leistungen,270.0,15.19,34.93,53.15,"References: Nummer 3100, Nummer 3090",,"Die Leistung nach der Nummer 3100 ist für dasselbe Operationsge -
biet nicht neben der Leistung nach
der Nummer 3090 berechnungsfä -
hig."
3110,"Resektion einer Wurzelspitze an
einem Frontzahn",D_Chirurgische_Leistungen,460.0,25.87,59.5,90.55,The text provided does not contain any references to other paragraphs.,,
3120,"Resektion einer Wurzelspitze an
einem Seitenzahn
Die Kosten für konfektionierte api -
kale Stiftsysteme sind gesondert
berechnungsfähig.",D_Chirurgische_Leistungen,580.0,32.62,75.03,114.17,The text does not mention any references to other paragraphs.,,
3130,"Hemisektion und Teilextraktion
eines mehrwurzeligen Zahnes",D_Chirurgische_Leistungen,280.0,15.75,36.22,55.12,The text provided does not contain any references to other paragraphs.,,
3140,"Reimplantation eines Zahnes ein -
schließlich einfacher Fixation",D_Chirurgische_Leistungen,550.0,30.93,71.15,108.27,The text provided does not contain any references to other paragraphs.,,
3160,"Transplantation eines Zahnes ein -
schließlich operativer Schaffung
des Knochenbettes",D_Chirurgische_Leistungen,650.0,36.56,84.08,127.95,The text provided does not contain any references to other paragraphs.,,
3190,"Operation einer Zyste durch Zyst -
ektomie in Verbindung mit einer
Osteotomie oder Wurzelspitzenre -
sektion",D_Chirurgische_Leistungen,270.0,15.19,34.93,53.15,The text does not mention any references to other paragraphs.,,
3200,"Operation einer Zyste durch Zyst -
ektomie, als selbstständige Leis -
tung
Das Auskratzen von Granulations -
gewebe oder kleinen Zysten in
Verbindung mit Extraktionen, Os -
teotomien oder Wurzelspitzenre -
sektionen kann nicht nach den
Nummern 3190 bis 3200 sowie 3310
berechnet werden.",D_Chirurgische_Leistungen,500.0,28.12,64.68,98.42,"References: Nummern 3190 bis 3200, 3310",,"Das Auskratzen von Granulationsgewebe oder kleinen Zysten in Verbindung mit Extraktionen, Osteotomien oder Wurzelspitzenresektionen kann nicht nach den Nummern 3190 bis 3200 sowie 3310 berechnet werden."
3210,"Beseitigung störender Schleim -
hautbänder, je Kieferhälfte oder
Frontzahnbereich",D_Chirurgische_Leistungen,140.0,7.87,18.11,27.56,The text doesn't mention any references to other paragraphs.,,
3230,"Knochenresektion am Alveolar -
fortsatz zur Formung des Prothe -
senlagers, als selbstständige Leis-
tung, je Kiefer",D_Chirurgische_Leistungen,440.0,24.75,56.92,86.61,The text does not mention any references to other paragraphs.,,
3240,"Vestibulumplastik oder Mundbo -
denplastik kleineren Umfangs
auch Gingivaextensionsplastik, je
Kieferhälfte oder Frontzahnbe -
reich, für einen Bereich bis zu zwei
nebeneinander liegenden Zäh -
nen, gegebenenfalls auch am
zahnlosen Kieferabschnitt",D_Chirurgische_Leistungen,550.0,30.93,71.15,108.27,The text does not mention any references to other paragraphs.,,
3250,"Tuberplastik, einseitig",D_Chirurgische_Leistungen,270.0,15.19,34.93,53.15,The text provided does not contain any references to other paragraphs.,,
3260,"Freilegen eines retinierten oder
verlagerten Zahnes zur orthopädi -
schen Einstellung",D_Chirurgische_Leistungen,550.0,30.93,71.15,108.27,The text doesn't mention any references to other paragraphs.,,
3270,Germektomie,D_Chirurgische_Leistungen,590.0,33.18,76.32,116.14,The text provided does not contain any references to other paragraphs.,,
3280,"Lösen, Verlegen und Fixieren des
Lippenbändchens und Durchtren -
nen des Septums bei echtem Dias-
tema",D_Chirurgische_Leistungen,270.0,15.19,34.93,53.15,The text does not mention any references to other paragraphs.,,
3290,"Kontrolle nach chirurgischem Ein -
griff, als selbstständige Leistung, je
Kieferhälfte oder Frontzahnbereich",D_Chirurgische_Leistungen,55.0,3.09,7.11,10.83,The text does not mention any references to other paragraphs.,,
3300,"Nachbehandlung nach chirurgi -
schem Eingriff (z.B. Tamponieren),
als selbstständige Leistung, je Ope -
rationsgebiet (Raum einer zusam -
menhängenden Schnittführung)
Die Leistung nach der Nummer 3300 ist höchstens zweimal je Kie -
ferhälfte oder Frontzahnbereich
berechnungsfähig. Neben der
Leistung nach der Nummer 3300
sind die Leistungen nach den
Nummern 3060 oder 3310 nicht
berechnungsfähig.",D_Chirurgische_Leistungen,65.0,3.66,8.41,12.8,"References: Nummer 3300, Nummern 3060, Nummer 3310",,Die Leistung nach der Nummer 3300 ist höchstens zweimal je Kieferhälfte oder Frontzahnbereich berechnungsfähig.
3300,"Nachbehandlung nach chirurgi -
schem Eingriff (z.B. Tamponieren),
als selbstständige Leistung, je Ope -
rationsgebiet (Raum einer zusam -
menhängenden Schnittführung)
Die Leistung nach der Nummer 3300 ist höchstens zweimal je Kie -
ferhälfte oder Frontzahnbereich
berechnungsfähig. Neben der
Leistung nach der Nummer 3300
sind die Leistungen nach den
Nummern 3060 oder 3310 nicht
berechnungsfähig.",D_Chirurgische_Leistungen,65.0,3.66,8.41,12.8,"References: Nummer 3300, Nummern 3060, Nummer 3310",,Neben der Leistung nach der Nummer 3300 sind die Leistungen nach den Nummern 3060 oder 3310 nicht berechnungsfähig.
3310,"Chirurgische Wundrevision (z.B.
Glätten des Knochens, Auskrat -
zen, Naht), je Operationsgebiet
(Raum einer zusammenhängen -
den Schnittführung)
Die Leistung nach der Nummer 3310 ist höchstens zweimal je Kie -
ferhälfte oder Frontzahnbereich
berechnungsfähig. Neben der
Leistung nach der Nummer 3310
sind die Leistungen nach den
Nummern 3060 oder 3300 nicht
berechnungsfähig.",D_Chirurgische_Leistungen,100.0,5.62,12.94,19.68,"References: Nummer 3310, Nummern 3060, Nummer 3300",,Die Leistung nach der Nummer 3310 ist höchstens zweimal je Kieferhälfte oder Frontzahnbereich berechnungsfähig.
3310,"Chirurgische Wundrevision (z.B.
Glätten des Knochens, Auskrat -
zen, Naht), je Operationsgebiet
(Raum einer zusammenhängen -
den Schnittführung)
Die Leistung nach der Nummer 3310 ist höchstens zweimal je Kie -
ferhälfte oder Frontzahnbereich
berechnungsfähig. Neben der
Leistung nach der Nummer 3310
sind die Leistungen nach den
Nummern 3060 oder 3300 nicht
berechnungsfähig.",D_Chirurgische_Leistungen,100.0,5.62,12.94,19.68,"References: Nummer 3310, Nummern 3060, Nummer 3300",,Neben der Leistung nach der Nummer 3310 sind die Leistungen nach den Nummern 3060 oder 3300 nicht berechnungsfähig.
4000,"Erstellen und Dokumentieren eines
Parodontalstatus
Die Leistung nach der Nummer 4000
ist innerhalb eines Jahres höchstens
zweimal berechnungsfähig .",E_Leistungen_bei_Erkrankungen_der_Mundschleimhaut,160.0,9.0,20.7,31.5,References: Nummer 4000,,Die Leistung nach der Nummer 4000 ist innerhalb eines Jahres höchstens zweimal berechnungsfähig.
4005,"Erhebung mindestens eines Gingi -
valindex und/oder eines Parodon -
talindex (z.B. des Parodontalen
Screening-Index PSI)
Die Leistung nach der Nummer 4005
ist innerhalb eines Jahres höchstens
zweimal berechnungsfähig.",E_Leistungen_bei_Erkrankungen_der_Mundschleimhaut,80.0,4.5,10.35,15.75,The text does not mention any references to other paragraphs.,,Die Leistung nach der Nummer 4005 ist innerhalb eines Jahres höchstens zweimal berechnungsfähig.
4020,"Lokalbehandlung von Mund -
schleimhauterkrankungen, gege -
benenfalls einschließlich Taschen-
spülungen, je Sitzung",E_Leistungen_bei_Erkrankungen_der_Mundschleimhaut,45.0,2.53,5.82,8.86,The text does not mention any references to other paragraphs.,,
4025,"Subgingivale medikamentöse an -
tibakterielle Lokalapplikation, je
Zahn
Die verwendeten antibakteriellen
Materialien sind gesondert be -
rechnungsfähig.",E_Leistungen_bei_Erkrankungen_der_Mundschleimhaut,15.0,0.84,1.94,2.95,The text does not mention any references to other paragraphs.,,Die verwendeten antibakteriellen Materialien sind gesondert be - rechnungsfähig.
4030,"Beseitigung von scharfen Zahnkan -
ten, störenden Prothesenrändern
und Fremdreizen am Parodon -
tium, je Kieferhälfte oder Front -
zahnbereich",E_Leistungen_bei_Erkrankungen_der_Mundschleimhaut,35.0,1.97,4.53,6.89,The text does not mention any references to other paragraphs.,,
4040,"Beseitigung grober Vorkontakte
der Okklusion und Artikulation
durch Einschleifen des natürlichen
Gebisses oder bereits vorhande -
nen Zahnersatzes, je Sitzung",E_Leistungen_bei_Erkrankungen_der_Mundschleimhaut,45.0,2.53,5.82,8.86,The text does not mention any references to other paragraphs.,,
4050,"Entfernung harter und weicher
Zahnbeläge, gegebenenfalls ein -
schließlich Polieren an einem ein -
wurzeligen Zahn oder Implantat,
auch Brückenglied",E_Leistungen_bei_Erkrankungen_der_Mundschleimhaut,10.0,0.56,1.29,1.97,The text does not mention any references to other paragraphs.,,
4055,"Entfernung harter und weicher
Zahnbeläge, gegebenenfalls ein -
schließlich Polieren an einem
mehrwurzeligen Zahn
Die Leistungen nach den Num -
mern 4050 und 4055 sind für densel -
ben Zahn innerhalb von 30 Tagen
nur einmal berechnungsfähig.",E_Leistungen_bei_Erkrankungen_der_Mundschleimhaut,13.0,0.73,1.68,2.56,"References: Nummern 4050, 4055",,Die Leistungen nach den Nummern 4050 und 4055 sind für denselben Zahn innerhalb von 30 Tagen nur einmal berechnungsfähig.
4060,"Kontrolle nach Entfernung harter
und weicher Zahnbeläge oder pro -
fessioneller Zahnreinigung nach der
Nummer 1040 mit Nachreinigung
einschließlich Polieren, je Zahn,
oder Implantat, auch Brückenglied
Die Leistung nach der Nummer 4060 ist neben den Leistungen
nach den Nummern 1040, 4050
und 4055 nicht berechnungsfähig.",E_Leistungen_bei_Erkrankungen_der_Mundschleimhaut,7.0,0.39,0.91,1.38,"References: Nummer 1040, Nummer 4060, Nummer 4050, Nummer 4055",,"Die Leistung nach der Nummer 4060 ist neben den Leistungen nach den Nummern 1040, 4050 und 4055 nicht berechnungsfähig."
4070,"Parodontalchirurgische Therapie
(insbesondere Entfernung subgin -
givaler Konkremente und Wurzel -
glättung) an einem einwurzeligen
Zahn oder Implantat, geschlosse -
nes Vorgehen",E_Leistungen_bei_Erkrankungen_der_Mundschleimhaut,100.0,5.62,12.94,19.68,The text does not mention any references to other paragraphs.,,
4075,"Parodontalchirurgische Therapie
(insbesondere Entfernung subgingi -
valer Konkremente und Wurzelglät -
tung) an einem mehrwurzeligen
Zahn, geschlossenes Vorgehen",E_Leistungen_bei_Erkrankungen_der_Mundschleimhaut,130.0,7.31,16.82,25.59,The text doesn't mention any references to other paragraphs.,,
4080,"Gingivektomie, Gingivoplastik, je
Parodontium",E_Leistungen_bei_Erkrankungen_der_Mundschleimhaut,45.0,2.53,5.82,8.86,The text provided does not contain any references to other paragraphs.,,
4090,"Lappenoperation, offene Küret -
tage einschließlich Osteoplastik an
einem Frontzahn, je Parodontium",E_Leistungen_bei_Erkrankungen_der_Mundschleimhaut,180.0,10.12,23.28,35.43,The text doesn't mention any references to other paragraphs.,,
4100,"Lappenoperation, offene Küret -
tage einschließlich Osteoplastik an
einem Seitenzahn, je Parodontium
Neben den Leistungen nach den
Nummern 4090 und 4100 sind Leis -
tungen nach den Nummern 4050
bis 4080 in der gleichen Sitzung
nicht berechnungsfähig.",E_Leistungen_bei_Erkrankungen_der_Mundschleimhaut,275.0,15.47,35.57,54.13,"References: Nummern 4090, 4100, 4050 bis 4080",,"Neben den Leistungen nach den Nummern 4090 und 4100 sind Leis -
tungen nach den Nummern 4050 bis 4080 in der gleichen Sitzung nicht berechnungsfähig."
4110,"Auffüllen von parodontalen Kno -
chendefekten mit Aufbaumaterial
(Knochen- und/oder Knochener -
satzmaterial), auch Einbringen von
Proteinen, zur regenerativen Be -
handlung parodontaler Defekte,
gegebenenfalls einschließlich Ma -
terialentnahme im Aufbaugebiet,
je Zahn oder Parodontium oder
Implantat
Die Leistung nach der Nummer 4110 ist auch im Rahmen einer chi -
rurgischen Behandlung berech -
nungsfähig. Die Kosten eines
einmal verwendbaren Knochen -
kollektors oder -schabers sind ge -
sondert berechnungsfähig.",E_Leistungen_bei_Erkrankungen_der_Mundschleimhaut,180.0,10.12,23.28,35.43,The text does not contain any references to other paragraphs.,,Die Leistung nach der Nummer 4110 ist auch im Rahmen einer chirurgischen Behandlung berechnungsfähig.
4110,"Auffüllen von parodontalen Kno -
chendefekten mit Aufbaumaterial
(Knochen- und/oder Knochener -
satzmaterial), auch Einbringen von
Proteinen, zur regenerativen Be -
handlung parodontaler Defekte,
gegebenenfalls einschließlich Ma -
terialentnahme im Aufbaugebiet,
je Zahn oder Parodontium oder
Implantat
Die Leistung nach der Nummer 4110 ist auch im Rahmen einer chi -
rurgischen Behandlung berech -
nungsfähig. Die Kosten eines
einmal verwendbaren Knochen -
kollektors oder -schabers sind ge -
sondert berechnungsfähig.",E_Leistungen_bei_Erkrankungen_der_Mundschleimhaut,180.0,10.12,23.28,35.43,The text does not contain any references to other paragraphs.,,Die Kosten eines einmal verwendbaren Knochenkollektors oder -schabers sind gesondert berechnungsfähig.
4120,"Verlegen eines gestielten Schleim -
hautlappens, je Kieferhälfte oder
Frontzahnbereich",E_Leistungen_bei_Erkrankungen_der_Mundschleimhaut,275.0,15.47,35.57,54.13,The text provided does not contain any references to other paragraphs.,,
4130,"Gewinnung und Transplantation
von Schleimhaut, gegebenenfalls
einschließlich Versorgung der Ent -
nahmestelle, je Transplantat",E_Leistungen_bei_Erkrankungen_der_Mundschleimhaut,180.0,10.12,23.28,35.43,The text does not mention any references to other paragraphs.,,
4133,"Gewinnung und Transplantation
von Bindegewebe einschließlich
Versorgung der Entnahmestelle, je
Zahnzwischenraum",E_Leistungen_bei_Erkrankungen_der_Mundschleimhaut,880.0,49.49,113.83,173.23,The text does not mention any references to other paragraphs.,,
4136,"Osteoplastik auch Kronenverlän -
gerung, Tunnelierung oder Ähnli -
ches je Zahn oder Parodontium,
auch Implantat, als selbstständige
Leistung",E_Leistungen_bei_Erkrankungen_der_Mundschleimhaut,200.0,11.25,25.87,39.37,The text does not mention any references to other paragraphs.,,
